c:[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
num:[421, 414, 1975, 4719, 3157, 4889, 4975, 1427, 474, 2601]
c:[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
num:[524, 1752, 1219, 4473, 3715, 1131, 4587, 625, 3041, 3798]
c:[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
num:[3631, 945, 1413, 3267, 2294, 4498, 4387, 544, 761, 2171]
c:[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
num:[2340, 3143, 1604, 1765, 1638, 2500, 1349, 4054, 2825, 4099]
c:[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
num:[3765, 1644, 1030, 1611, 1185, 4932, 3013, 3212, 893, 1409]
c:[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
num:[3184, 2371, 3603, 2302, 11, 2129, 591, 354, 1845, 2614]
c:[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
num:[3037, 426, 3349, 718, 1730, 3568, 1230, 559, 2049, 2698]
c:[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
num:[1132, 2374, 1038, 919, 2191, 1901, 3476, 2711, 3836, 801]
c:[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
num:[1729, 2888, 80, 4033, 3379, 2865, 2849, 1811, 1513, 3692]
c:[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
num:[3410, 3963, 2342, 4632, 942, 170, 4738, 3784, 3389, 3411]
c:[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
num:[3801, 18, 2220, 3818, 2083, 3714, 4821, 2493, 4765, 1848]
c:[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
num:[1810, 2775, 3077, 570, 1499, 8, 2403, 1587, 4889, 885]
c:[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
num:[3484, 3506, 1597, 4591, 2926, 3860, 2706, 2717, 656, 3360]
c:[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
num:[2646, 2260, 2696, 2693, 1367, 1646, 658, 524, 454, 3665]
c:[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
num:[3311, 1602, 1434, 4444, 3288, 983, 3856, 398, 3858, 1669]
c:[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
num:[1564, 656, 4503, 595, 3786, 139, 1676, 3988, 2806, 580]
c:[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
num:[3105, 1948, 290, 856, 1197, 3629, 343, 3579, 4291, 4929]
c:[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
num:[3459, 965, 2068, 2105, 1380, 2363, 850, 2327, 3695, 2769]
c:[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
num:[3804, 1959, 2531, 2164, 3410, 2458, 4932, 689, 2113, 2544]
c:[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
num:[4309, 4626, 1424, 1702, 1545, 4690, 3468, 618, 2973, 4702]
c:[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
num:[4824, 1329, 1714, 4198, 4088, 1345, 1794, 1783, 1233, 1009]
c:[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
num:[1108, 2104, 550, 900, 4339, 3753, 1869, 1923, 2087, 3527]
c:[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
num:[1739, 4688, 291, 4190, 965, 4312, 1106, 2977, 3588, 3141]
c:[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
num:[1211, 435, 1447, 3974, 43, 919, 832, 3884, 3139, 4327]
c:[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
num:[3325, 2232, 4555, 4700, 2855, 1203, 4110, 952, 491, 1388]
c:[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
num:[4489, 4457, 1056, 914, 4607, 2576, 4920, 3426, 1296, 3812]
c:[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
num:[1678, 2238, 2054, 479, 1928, 560, 1531, 1594, 4949, 303]
c:[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
num:[350, 1758, 1330, 4192, 1309, 3255, 1467, 3423, 3002, 4937]
c:[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
num:[854, 805, 4771, 2937, 1342, 1695, 2331, 1975, 1570, 94]
c:[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
num:[3163, 4943, 4044, 2598, 2967, 4601, 1087, 1979, 345, 948]
c:[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
num:[3280, 690, 3925, 2714, 2290, 1116, 370, 3751, 3457, 3498]
c:[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
num:[1730, 907, 2324, 3051, 365, 2077, 678, 1441, 4852, 1664]
c:[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
num:[266, 3495, 1569, 642, 2136, 1311, 4963, 3322, 3604, 37]
c:[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
num:[4387, 2664, 3422, 1668, 1631, 1156, 3997, 4335, 4063, 2605]
c:[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
num:[1287, 4227, 1521, 1993, 702, 4000, 2202, 1358, 729, 4933]
c:[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
num:[4090, 1572, 891, 883, 911, 1909, 4877, 4511, 4251, 103]
c:[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
num:[1366, 1443, 2160, 4, 1267, 4558, 3256, 209, 2640, 2007]
c:[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
num:[3516, 2163, 4990, 3495, 2493, 796, 2228, 3709, 4091, 1688]
c:[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
num:[2554, 4094, 1848, 2783, 2543, 2833, 4241, 514, 45, 189]
c:[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
num:[1333, 1744, 183, 1982, 2792, 1073, 3732, 1790, 222, 4800]
c:[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
num:[4574, 2608, 635, 4749, 3583, 2002, 374, 4663, 981, 982]
c:[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
num:[3374, 4843, 1379, 3318, 2992, 2012, 3436, 3505, 2821, 2847]
c:[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
num:[2936, 522, 4711, 2457, 1178, 1468, 3863, 4442, 715, 4800]
c:[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
num:[152, 129, 736, 3450, 2126, 1654, 1430, 1318, 2470, 705]
c:[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
num:[3576, 4718, 1599, 2067, 4235, 3535, 1172, 1492, 627, 3262]
c:[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
num:[1023, 3883, 3377, 1020, 411, 2442, 4235, 2361, 1499, 27]
c:[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
num:[3627, 3874, 2332, 1863, 2902, 3148, 2830, 4315, 1555, 583]
c:[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
num:[185, 3021, 1615, 3558, 2815, 1259, 2800, 2407, 4426, 3660]
c:[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
num:[4347, 2454, 958, 1143, 429, 3342, 3724, 3152, 2454, 2454]
c:[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
num:[677, 4954, 4398, 116, 2156, 3603, 4401, 4453, 116, 2424]
