c:[0, 1, 2, 3, 4, 5, 6, 7, 8]
num:[1969, 3193, 3397, 1873, 4449, 4396, 493, 4121, 2202]
c:[0, 1, 2, 3, 4, 5, 6, 7, 9]
num:[4032, 4219, 2950, 2811, 1975, 2875, 3592, 4321, 1131]
c:[0, 1, 2, 3, 4, 5, 7, 8, 9]
num:[654, 3259, 97, 4091, 3229, 2968, 592, 4257, 252]
c:[1, 2, 3, 4, 5, 6, 7, 8, 9]
num:[3011, 2591, 3652, 2362, 3992, 928, 4948, 1552, 1916]
c:[0, 1, 2, 3, 4, 5, 6, 7, 9]
num:[3530, 124, 2780, 1537, 2871, 2427, 4598, 3425, 1984]
c:[0, 1, 2, 4, 5, 6, 7, 8, 9]
num:[1413, 3856, 500, 1604, 2417, 814, 4228, 3589, 1527]
c:[1, 2, 3, 4, 5, 6, 7, 8, 9]
num:[2032, 2562, 3373, 531, 4127, 4424, 3154, 4488, 1172]
c:[0, 1, 2, 3, 4, 5, 6, 7, 9]
num:[4, 3117, 3642, 1256, 1393, 2053, 2262, 2929, 4583]
c:[0, 1, 2, 3, 4, 5, 6, 7, 8]
num:[1420, 2084, 973, 2757, 4225, 4128, 2638, 999, 4758]
c:[0, 2, 3, 4, 5, 6, 7, 8, 9]
num:[3283, 4644, 1842, 1695, 4506, 222, 256, 697, 3530]
c:[0, 1, 2, 3, 5, 6, 7, 8, 9]
num:[4306, 2735, 328, 2259, 2509, 1667, 3439, 3593, 1877]
c:[0, 1, 2, 3, 4, 6, 7, 8, 9]
num:[2150, 3584, 388, 528, 4484, 1236, 1969, 1598, 2096]
c:[0, 1, 2, 3, 4, 5, 7, 8, 9]
num:[2113, 502, 3678, 194, 467, 1212, 3451, 4909, 1253]
c:[0, 1, 2, 4, 5, 6, 7, 8, 9]
num:[1554, 2573, 1199, 711, 1226, 3564, 4888, 2620, 3295]
c:[1, 2, 3, 4, 5, 6, 7, 8, 9]
num:[2197, 3811, 1615, 2093, 4725, 4046, 551, 441, 1670]
c:[0, 1, 2, 4, 5, 6, 7, 8, 9]
num:[2293, 3718, 1017, 4121, 4428, 885, 3359, 2702, 2586]
c:[0, 2, 3, 4, 5, 6, 7, 8, 9]
num:[1419, 3955, 1394, 2364, 712, 4702, 1215, 4282, 71]
c:[0, 1, 3, 4, 5, 6, 7, 8, 9]
num:[233, 2657, 2904, 1724, 3644, 4324, 2845, 2099, 3009]
c:[0, 1, 2, 3, 4, 5, 6, 7, 9]
num:[3444, 4230, 1213, 4276, 4964, 3213, 117, 4790, 568]
c:[0, 1, 2, 3, 4, 5, 6, 7, 8]
num:[5000, 2998, 2436, 1437, 107, 3249, 2834, 3734, 3716]
c:[0, 1, 2, 3, 4, 5, 6, 8, 9]
num:[2291, 358, 1032, 3628, 2319, 2743, 1334, 1906, 3633]
c:[0, 1, 2, 3, 4, 5, 6, 7, 9]
num:[4738, 3756, 3987, 3268, 1968, 1761, 798, 4377, 847]
c:[0, 1, 2, 3, 4, 5, 6, 7, 9]
num:[2840, 3045, 2308, 2206, 4730, 2935, 3473, 2139, 1202]
c:[0, 1, 2, 3, 5, 6, 7, 8, 9]
num:[4109, 3198, 4866, 1540, 1559, 3590, 2459, 4084, 4619]
c:[0, 1, 3, 4, 5, 6, 7, 8, 9]
num:[3932, 1401, 801, 2559, 1268, 3827, 3068, 812, 1954]
c:[0, 1, 2, 4, 5, 6, 7, 8, 9]
num:[4356, 4111, 1830, 4162, 4879, 4164, 1875, 2557, 3864]
c:[0, 1, 2, 3, 4, 5, 7, 8, 9]
num:[3417, 3905, 1115, 1618, 2000, 2644, 3822, 2912, 4664]
c:[0, 1, 2, 3, 4, 5, 6, 7, 9]
num:[4819, 2891, 406, 1548, 2874, 2451, 4123, 3396, 4567]
c:[0, 1, 2, 3, 4, 5, 6, 7, 9]
num:[4873, 4649, 1249, 493, 2432, 1915, 3658, 4341, 90]
c:[0, 1, 2, 3, 4, 5, 6, 7, 9]
num:[1655, 376, 991, 1771, 1886, 3088, 913, 343, 591]
c:[1, 2, 3, 4, 5, 6, 7, 8, 9]
num:[3799, 1255, 3520, 349, 1180, 4040, 2859, 4391, 2811]
c:[0, 1, 2, 3, 4, 5, 7, 8, 9]
num:[74, 2513, 3805, 2766, 3545, 2005, 2511, 3540, 1372]
c:[0, 1, 2, 3, 4, 5, 7, 8, 9]
num:[2405, 1713, 2838, 1537, 4432, 4512, 4807, 2600, 1364]
c:[0, 1, 2, 4, 5, 6, 7, 8, 9]
num:[1535, 1441, 2261, 180, 2174, 4037, 2415, 4283, 2670]
c:[0, 1, 2, 4, 5, 6, 7, 8, 9]
num:[2331, 4099, 376, 387, 3853, 3899, 3965, 163, 2035]
c:[0, 1, 2, 3, 4, 6, 7, 8, 9]
num:[1632, 417, 4311, 3760, 4329, 590, 4101, 4461, 3762]
c:[0, 1, 2, 4, 5, 6, 7, 8, 9]
num:[87, 1266, 3449, 1417, 3837, 2519, 2918, 4852, 743]
c:[0, 1, 2, 3, 4, 6, 7, 8, 9]
num:[2133, 2771, 3300, 4533, 4748, 4444, 2656, 3701, 3866]
c:[0, 1, 2, 3, 4, 5, 6, 8, 9]
num:[2336, 117, 524, 1455, 125, 663, 3059, 2590, 4921]
c:[0, 1, 2, 3, 5, 6, 7, 8, 9]
num:[1415, 4774, 156, 4581, 1026, 1522, 556, 332, 180]
c:[0, 1, 2, 3, 5, 6, 7, 8, 9]
num:[4089, 4644, 1539, 3736, 650, 4713, 4192, 2173, 4241]
c:[0, 2, 3, 4, 5, 6, 7, 8, 9]
num:[17, 1738, 2054, 3256, 908, 2123, 2683, 2341, 3394]
c:[0, 2, 3, 4, 5, 6, 7, 8, 9]
num:[3147, 81, 346, 3437, 673, 1441, 2837, 4455, 3925]
c:[0, 1, 2, 3, 4, 5, 6, 7, 9]
num:[480, 1407, 3822, 4415, 2302, 1240, 2021, 874, 3863]
c:[0, 1, 2, 3, 4, 5, 7, 8, 9]
num:[2322, 4903, 2237, 2319, 3199, 3952, 4900, 2356, 1105]
c:[0, 1, 2, 4, 5, 6, 7, 8, 9]
num:[4390, 3087, 2647, 3473, 662, 232, 1218, 239, 1245]
c:[0, 2, 3, 4, 5, 6, 7, 8, 9]
num:[843, 3439, 3234, 3606, 206, 4889, 1083, 2895, 2066]
c:[0, 1, 2, 3, 4, 5, 6, 7, 8]
num:[135, 352, 1258, 3211, 1273, 2951, 483, 3901, 2099]
c:[0, 2, 3, 4, 5, 6, 7, 8, 9]
num:[4495, 2133, 2681, 4062, 2650, 17, 4842, 1342, 3960]
c:[1, 2, 3, 4, 5, 6, 7, 8, 9]
num:[1309, 300, 4564, 1119, 4580, 880, 638, 1767, 1485]
