unlearning_classes:1
unlearning_grad:[tensor(125.4474, device='cuda:0'), tensor(109.2760, device='cuda:0'), tensor(138.2509, device='cuda:0'), tensor(138.6192, device='cuda:0'), tensor(133.8430, device='cuda:0'), tensor(132.6247, device='cuda:0'), tensor(116.9735, device='cuda:0'), tensor(127.7069, device='cuda:0'), tensor(121.1501, device='cuda:0'), tensor(118.4103, device='cuda:0')]
unlearning_grad:[tensor(122.8006, device='cuda:0'), tensor(102.8996, device='cuda:0'), tensor(127.1870, device='cuda:0'), tensor(123.4052, device='cuda:0'), tensor(122.3630, device='cuda:0'), tensor(122.5407, device='cuda:0'), tensor(112.7690, device='cuda:0'), tensor(115.9862, device='cuda:0'), tensor(108.6859, device='cuda:0'), tensor(107.0715, device='cuda:0')]
unlearning_grad:[tensor(131.3545, device='cuda:0'), tensor(116.5392, device='cuda:0'), tensor(139.9084, device='cuda:0'), tensor(137.9097, device='cuda:0'), tensor(132.5925, device='cuda:0'), tensor(134.7623, device='cuda:0'), tensor(118.6937, device='cuda:0'), tensor(125.8715, device='cuda:0'), tensor(120.1032, device='cuda:0'), tensor(119.1229, device='cuda:0')]
unlearning_grad:[tensor(126.6626, device='cuda:0'), tensor(120.5416, device='cuda:0'), tensor(136.5455, device='cuda:0'), tensor(137.4102, device='cuda:0'), tensor(149.1002, device='cuda:0'), tensor(133.6489, device='cuda:0'), tensor(119.7257, device='cuda:0'), tensor(126.4356, device='cuda:0'), tensor(123.1769, device='cuda:0'), tensor(122.1496, device='cuda:0')]
unlearning_grad:[tensor(127.4202, device='cuda:0'), tensor(121.3735, device='cuda:0'), tensor(141.6105, device='cuda:0'), tensor(137.7825, device='cuda:0'), tensor(132.2078, device='cuda:0'), tensor(134.5730, device='cuda:0'), tensor(123.1903, device='cuda:0'), tensor(134.0922, device='cuda:0'), tensor(130.8936, device='cuda:0'), tensor(125.7466, device='cuda:0')]
unlearning_grad:[tensor(122.6806, device='cuda:0'), tensor(113.4996, device='cuda:0'), tensor(129.8221, device='cuda:0'), tensor(126.5959, device='cuda:0'), tensor(123.9884, device='cuda:0'), tensor(126.2968, device='cuda:0'), tensor(115.0723, device='cuda:0'), tensor(124.2403, device='cuda:0'), tensor(116.8141, device='cuda:0'), tensor(116.7035, device='cuda:0')]
unlearning_grad:[tensor(125.2377, device='cuda:0'), tensor(118.8057, device='cuda:0'), tensor(136.2786, device='cuda:0'), tensor(130.0376, device='cuda:0'), tensor(132.3969, device='cuda:0'), tensor(145.9927, device='cuda:0'), tensor(115.8173, device='cuda:0'), tensor(126.2455, device='cuda:0'), tensor(120.3126, device='cuda:0'), tensor(121.2613, device='cuda:0')]
unlearning_grad:[tensor(122.3955, device='cuda:0'), tensor(111.6447, device='cuda:0'), tensor(142.3340, device='cuda:0'), tensor(128.3028, device='cuda:0'), tensor(128.4455, device='cuda:0'), tensor(126.6789, device='cuda:0'), tensor(117.2536, device='cuda:0'), tensor(123.6113, device='cuda:0'), tensor(113.5194, device='cuda:0'), tensor(116.2558, device='cuda:0')]
unlearning_grad:[tensor(120.6018, device='cuda:0'), tensor(114.8649, device='cuda:0'), tensor(130.2752, device='cuda:0'), tensor(129.4738, device='cuda:0'), tensor(126.3715, device='cuda:0'), tensor(126.4405, device='cuda:0'), tensor(116.4357, device='cuda:0'), tensor(123.2262, device='cuda:0'), tensor(116.4855, device='cuda:0'), tensor(115.5434, device='cuda:0')]
unlearning_grad:[tensor(125.8417, device='cuda:0'), tensor(117.0047, device='cuda:0'), tensor(137.3255, device='cuda:0'), tensor(131.5634, device='cuda:0'), tensor(131.6808, device='cuda:0'), tensor(132.2568, device='cuda:0'), tensor(136.2871, device='cuda:0'), tensor(125.9350, device='cuda:0'), tensor(123.7640, device='cuda:0'), tensor(120.4421, device='cuda:0')]
unlearning_grad:[tensor(120.3292, device='cuda:0'), tensor(113.4756, device='cuda:0'), tensor(133.3816, device='cuda:0'), tensor(130.1111, device='cuda:0'), tensor(128.1464, device='cuda:0'), tensor(128.0269, device='cuda:0'), tensor(116.8685, device='cuda:0'), tensor(144.3032, device='cuda:0'), tensor(113.1346, device='cuda:0'), tensor(112.5021, device='cuda:0')]
